annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2027-03,奔驰EQS AMG 2022款 AMG EQS 53 4MATIC+,0.01万公里／2025-03／杭州／6年黑金会员,601km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/方向盘换挡/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 639马力 ,纯电动,自动,2025-03,64.90,167.92万,2025-03-05,112kwh,0.62小时,-小时,0次（以车辆登记证为准）,黑色,大型车,-
2025-10,奔驰S级新能源 2023款 S 450 e L 插电式混合动力轿车,1.29万公里／2023-10／杭州／6年黑金会员,108km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/方向盘换挡/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置后驱,3.0T 299马力 L6 ,插电混动,自动,2025-10,68.80,137.61万,2025-03-05,29kwh,0.33小时,3.25小时,0次（以车辆登记证为准）,黑色,大型车,-
2026-12,奔驰EQC 2020款 EQC 400 4MATIC,5.6万公里／2020-12／杭州／6年黑金会员,415km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 408马力 ,纯电动,自动,2025-12,14.99,62.94万,2025-03-06,79kwh,0.75小时,12小时,0次（以车辆登记证为准）,黑色,中型SUV,-
2025-08,奔驰EQE 2022款 350 先型特别版,2.3万公里／2023-08／杭州／6年黑金会员,717km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 292马力 ,纯电动,自动,2025-08,24.98,58.00万,2025-03-12,96kwh,0.8小时,13小时,0次（以车辆登记证为准）,蓝色,中大型车,-
2026-04,奔驰EQE 2022款 350 先锋版,1.8万公里／2024-04／杭州／6年黑金会员,752km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 292马力 ,纯电动,自动,2025-04,21.98,51.89万,2025-03-07,96kwh,0.8小时,13小时,0次（以车辆登记证为准）,蓝色,中大型车,-
2026-07,奔驰EQS 2022款 450+ 先锋版,4.4万公里／2022-07／杭州／6年黑金会员,849km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/方向盘换挡/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 333马力 ,纯电动,自动,2025-07,31.98,117.19万,2025-03-07,112kwh,0.62小时,,0次（以车辆登记证为准）,银/灰色,大型车,-
2025-01,福特电马 2021款 跃世后驱版(标准续航),5万公里／2023-01／杭州／7年黄金会员,513km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 273马力 ,纯电动,自动,2025-01,10.98,27.13万,2025-02-25,62kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2025-3,欧拉好猫 2021款 400km标准续航 维纳斯版 磷酸铁锂,2.9万公里／2021-03／杭州／5年黑金会员,401km,,前置前驱,纯电动 143马力 ,纯电动,自动,2025-7,6.18,12.36万,2025-03-01,48kwh,0.5小时,8小时,2次（以车辆登记证为准）,绿色,小型车,-
2026-03,小鹏P5 2024款 500Pro版,2.6万公里／2024-03／杭州／2年黄金会员,500km,,前置前驱,纯电动 211马力 ,纯电动,自动,2025-03,9.38,18.98万,2025-03-08,55kwh,0.5小时,-小时,0次（以车辆登记证为准）,银/灰色,紧凑型车,-
2025-08,小鹏G6 2023款 755 超长续航 Max,4.4万公里／2023-08／杭州／2年黄金会员,755km,,后置后驱,纯电动 296马力 ,纯电动,自动,2025-08,15.98,27.67万,2024-12-20,88kwh,0.33小时,-小时,1次（以车辆登记证为准）,银/灰色,中型SUV,-
