annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2029-11,腾势D9 2022款 DM-i 1040 尊贵型,2.14万公里／2023-11／南京／2年黑金会员,155km,,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-11,26.13,40.79万,2025-01-21,40kwh,0.42小时,-小时,0次（以车辆登记证为准）,白色,,-
2025-7,腾势N7 2023款 长续航性能Max版,1.12万公里／2023-07／南京／2年黑金会员,630km,,双电机四驱,纯电动 530马力 ,纯电动,自动,2024-7,17.78,37.97万,2025-01-25,91kwh,-小时,-小时,1次（以车辆登记证为准）,蓝色,中型SUV,-
2026-01,Model 3 2022款 后轮驱动版,7.6万公里／2022-01／南京／4年会员,556km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2026-01,13.58,25.17万,2025-03-14,60kwh,1小时,10小时,0次（以车辆登记证为准）,黑色,中型车,-
2025-06,蔚来ES8 2018款 创始版,14万公里／2019-06／南京／5年会员,355km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 653马力 ,纯电动,自动,2025-06,17.30,59.48万,2025-03-11,70kwh,1.1小时,10小时,1次（以车辆登记证为准）,白色,中大型SUV,-
2025-05,Model 3 2021款 Performance高性能全轮驱动版,4.9万公里／2021-05／南京／6年会员,605km,,双电机四驱,纯电动 461马力 ,纯电动,自动,2025-05,15.88,36.90万,2025-03-13,77kwh,1小时,10小时,1次（以车辆登记证为准）,黑色,中型车,-
2026-07,雷克萨斯UX新能源 2020款 300e 纯·享版,3.1万公里／2020-07／南京／4年会员,400km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/方向盘加热/HUD抬头数字显示/蓝牙/车载电话/自适应远近光/车内PM2.5过滤装置/后排出风口,前置前驱,纯电动 204马力 ,纯电动,自动,2025-07,10.98,41.79万,2025-01-15,54kwh,0.83小时,6.5小时,0次（以车辆登记证为准）,白色,紧凑型SUV,-
2025-3,奔驰EQC 2020款 EQC 350 4MATIC,3.45万公里／2021-03／南京／13年黄金会员,415km,胎压监测装置/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 286马力 ,纯电动,自动,2025-3,15.97,54.25万,2024-10-02,79kwh,,,0次（以车辆登记证为准）,黑色,中型SUV,-
2025-11,岚图追光 2023款 四驱标准版,1.33万公里／2023-11／南京／2年黑金会员,580km,,双电机四驱,纯电动 510马力 ,纯电动,自动,2024-11,16.06,35.05万,2025-02-18,82kwh,0.52小时,5.2小时,1次（以车辆登记证为准）,蓝色,中大型车,-
2026-2,海鸥 2023款 飞翔版,1.29万公里／2024-02／南京／1年黑金会员,405km,,前置前驱,纯电动 75马力 ,纯电动,自动,2025-2,7.18,9.75万,2025-02-24,39kwh,0.5小时,-小时,0次（以车辆登记证为准）,白色,小型车,-
2025-8,宝骏云朵 2023款 460 Max,1.91万公里／2023-08／南京／1年黑金会员,460km,,前置前驱,纯电动 136马力 ,纯电动,自动,2024-11,7.98,13.44万,2025-03-09,51kwh,-小时,-小时,0次（以车辆登记证为准）,白色,紧凑型车,-
