annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2026-03,小鹏P7 2024款 P7i 550 Pro,2.5万公里／2024-03／上海／2年黄金会员,550km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 276马力 ,纯电动,自动,2025-03,14.68,24.30万,2025-02-07,64kwh,0.48小时,-小时,0次（以车辆登记证为准）,绿色,中型车,-
2024-12,元新能源 2018款 EV360 智联炫酷型,3.55万公里／2018-12／上海／1年会员,305km,ISOFIX儿童座椅接口/倒车影像/定速巡航/无钥匙启动系统/无钥匙进入系统/内置行车记录仪/蓝牙/车载电话/手机互联/映射/车联网/车内PM2.5过滤装置/车载空气净化器,前置前驱,纯电动 95马力 ,纯电动,自动,2024-12,3.22,10.19万,2025-02-23,42kwh,0.5小时,7小时,0次（以车辆登记证为准）,白色,小型SUV,-
2025-08,唐新能源 2017款 2.0T 唐100,3.5万公里／2017-08／上海／1年会员,100km,ISOFIX儿童座椅接口/倒车影像/自动驻车/定速巡航/无钥匙启动系统/无钥匙进入系统/蓝牙/车载电话/手机互联/映射/车联网/220V/230V电源/车载空气净化器/后排出风口,前置四驱,2.0T 205马力 L4 ,插电混动,自动,2025-08,4.05,32.55万,2025-02-23,0kwh,,6.9小时,0次（以车辆登记证为准）,白色,中型SUV,-
2025-06,唐新能源 2018款 DM 2.0T 全时四驱智联创悦型 7座 国V,3.88万公里／2018-06／上海／1年会员,81km,车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,前置四驱,2.0T 205马力 L4 ,插电混动,自动,2025-06,6.48,26.04万,2025-02-23,20kwh,,5.8小时,0次（以车辆登记证为准）,白色,中型SUV,-
2026-01,VELITE 5 2017款 时尚增程型,3.6万公里／2018-01／上海／1年会员,116km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/倒车影像/自动泊车入位/定速巡航/无钥匙启动系统/无钥匙进入系统/全液晶仪表盘/蓝牙/车载电话/手机互联/映射/车联网/自适应远近光/车内氛围灯/防紫外线玻璃/自适应巡航,前置前驱,增程式 106马力 ,增程式,自动,2026-01,3.66,32.11万,2025-02-23,18kwh,,4.7小时,0次（以车辆登记证为准）,白色,紧凑型车,-
2024-12,元新能源 2019款 EV535 智联领潮型,3.55万公里／2020-12／上海／1年会员,410km,ISOFIX儿童座椅接口/无钥匙启动系统/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/车内PM2.5过滤装置,前置前驱,纯电动 95马力 ,纯电动,自动,2024-12,4.05,13.01万,2025-03-04,53kwh,0.5小时,,0次（以车辆登记证为准）,白色,小型SUV,-
2026-01,唐新能源 2015款 2.0T 四驱旗舰型,3.66万公里／2016-01／上海／1年会员,80km,ISOFIX儿童座椅接口/倒车影像/全景摄像头/自动驻车/定速巡航/无钥匙启动系统/无钥匙进入系统/全液晶仪表盘/蓝牙/车载电话/手机互联/映射/220V/230V电源/车内氛围灯/后排出风口,前置四驱,2.0T 205马力 L4 ,插电混动,自动,2026-01,2.70,30.37万,2025-03-04,0kwh,,5.5小时,0次（以车辆登记证为准）,白色,中型SUV,-
2025-08,秦新能源 2015款 1.5T 双冠旗舰Plus版,2.99万公里／2015-08／上海／1年会员,70km,胎压监测装置/ISOFIX儿童座椅接口/倒车影像/全景摄像头/定速巡航/无钥匙启动系统/无钥匙进入系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/220V/230V电源/车内氛围灯/车载空气净化器,前置前驱,1.5T 154马力 L4 ,插电混动,自动,2025-08,1.51,23.86万,2025-03-04,13kwh,,5小时,0次（以车辆登记证为准）,白色,紧凑型车,-
2026-06,唐新能源 2021款 DM-i 112KM 尊贵型,2.97万公里／2022-06／上海／2年黄金会员,112km,车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-06,11.98,22.77万,2024-10-25,22kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中型SUV,-
2025-06,小蚂蚁 2017款 智臻版,6.4万公里／2017-06／上海／2年黑金会员,151km,ISOFIX儿童座椅接口/倒车影像/无钥匙启动系统/蓝牙/车载电话,后置后驱,纯电动 41马力 ,纯电动,自动,2025-06,1.28,22.35万,2025-03-14,18kwh,0.5小时,8小时,0次（以车辆登记证为准）,红/紫色,微型车,-
