annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2026-02,唐新能源 2021款 DM-i 112KM 尊荣型,7.6万公里／2022-02／合肥／9年黄金会员,112km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-02,10.88,24.62万,2024-12-10,22kwh,-小时,-小时,0次（以车辆登记证为准）,白色,中型SUV,-
2025-06,宝马5系新能源 2019款 改款 530Le 豪华套装,3.8万公里／2019-06／合肥／11年钻石会员,67km,ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/转向头灯/自适应远近光/后排出风口,前置后驱,2.0T 184马力 L4 ,插电混动,自动,2025-06,19.80,53.94万,2025-03-05,13kwh,-小时,4小时,1次（以车辆登记证为准）,白色,中大型车,-
2026-7,别克GL8新能源 2024款 陆尊 奢享版 6座,0.35万公里／2024-07／合肥／12年黑金会员,138km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置前驱,1.5T 180马力 L4 ,插电混动,自动,2025-7,35.90,45.58万,2025-02-19,24kwh,-小时,-小时,0次（以车辆登记证为准）,白色,,-
2026-11,宝马5系新能源 2021款 535Le 先锋版M运动套装,3.08万公里／2020-11／合肥／12年黑金会员,73km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/后排出风口,前置后驱,2.0T 184马力 L4 ,插电混动,自动,2025-11,24.80,58.28万,2025-03-06,18kwh,-小时,3.9小时,0次（以车辆登记证为准）,黑色,中大型车,-
2025-10,腾势D9 2022款 DM-i 970 四驱尊荣型,1.28万公里／2023-10／合肥／2年黑金会员,145km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,前置四驱,1.5T 139马力 L4 ,插电混动,自动,2025-10,28.98,44.05万,2025-01-08,40kwh,0.42小时,-小时,0次（以车辆登记证为准）,黑色,,-
2025-4,阿维塔11 2023款 鸿蒙 90度 后驱版,2.5万公里／2023-04／合肥／2年黑金会员,630km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 313马力 ,纯电动,自动,2025-4,17.98,32.56万,2025-01-30,90kwh,0.25小时,10.5小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2026-11,高合HiPhi X 2022款 智远版6座 长续航版,0.01万公里／2024-11／合肥／2年黑金会员,650km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,后置后驱,纯电动 299马力 ,纯电动,自动,2025-11,23.98,61.87万,2025-01-30,97kwh,0.75小时,9小时,0次（以车辆登记证为准）,白色,中大型SUV,-
2026-2,Model Y 2023款 后轮驱动版,2.2万公里／2024-02／合肥／2年黑金会员,554km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 299马力 ,纯电动,自动,2025-2,19.88,28.10万,2025-02-12,60kwh,1小时,10小时,0次（以车辆登记证为准）,白色,中型SUV,-
2026-9,理想L6 2024款 Pro,0.68万公里／2024-09／合肥／2年黑金会员,212km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 154马力 ,增程式,自动,2025-9,20.88,27.12万,2025-02-28,37kwh,0.33小时,6小时,0次（以车辆登记证为准）,黑色,中大型SUV,-
2026-2,理想L9 2024款 Pro,1.5万公里／2024-02／合肥／2年黑金会员,280km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 154马力 ,增程式,自动,2025-2,32.99,44.48万,2025-03-11,52kwh,0.42小时,7.9小时,0次（以车辆登记证为准）,黑色,大型SUV,-
2026-03,唐新能源 2024款 DM-i 荣耀版 112KM 旗舰型,0.5万公里／2024-03／合肥／9年黄金会员,95km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2025-03,14.48,21.69万,2025-01-30,22kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2025-06,江淮iEV7S 2019款 豪华智能型,8万公里／2019-06／合肥／6年钻石会员,320km,ISOFIX儿童座椅接口/倒车影像/全景摄像头/定速巡航/无钥匙启动系统/无钥匙进入系统/蓝牙/车载电话/手机互联/映射/车内PM2.5过滤装置,前置前驱,纯电动 125马力 ,纯电动,自动,2025-06,2.88,10.15万,2025-03-03,43kwh,0.75小时,7.5小时,0次（以车辆登记证为准）,白色,小型SUV,-
2026-6,智界S7 2024款 Max 后驱长航智驾版,0.65万公里／2024-06／合肥／12年黑金会员,705km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排出风口,后置后驱,纯电动 292马力 ,纯电动,自动,2025-6,19.80,29.29万,2025-03-07,82kwh,0.25小时,-小时,0次（以车辆登记证为准）,黑色,中大型车,-
2025-11,ID.4 X 2021款 Pro 极智长续航版,5.48万公里／2021-11／合肥／2年黄金会员,555km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/蓝牙/车载电话/车联网/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 204马力 ,纯电动,自动,2025-11,10.98,25.60万,2025-02-14,83kwh,0.67小时,12.5小时,0次（以车辆登记证为准）,蓝色,紧凑型SUV,-
2026-04,蔚来ET7 2022款 100kWh 首发版,5.8万公里／2022-04／合肥／2年黄金会员,675km,,双电机四驱,纯电动 653马力 ,纯电动,自动,2025-04,25.88,58.18万,2025-02-16,100kwh,0.6小时,14小时,0次（以车辆登记证为准）,白色,中大型车,-
2025-11,蔚来ET5T 2023款 75kWh Touring,0.8万公里／2023-11／合肥／2年黄金会员,530km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 490马力 ,纯电动,自动,2025-11,21.58,32.35万,2025-02-26,75kwh,0.5小时,-小时,1次（以车辆登记证为准）,蓝色,中型车,-
